,year,month,uf_acronym,type,number_of_consumers,consumption
0,2004,1,RO,total,,112812.0
1,2004,1,AC,total,,34840.05
2,2004,1,AM,total,,274773.0
3,2004,1,RR,total,,31695.63
4,2004,1,PA,total,,1011353.04
5,2004,1,AP,total,,43084.0
6,2004,1,TO,total,,65876.62
7,2004,1,MA,total,,737033.3
8,2004,1,PI,total,,131052.0
9,2004,1,CE,total,,518714.0
10,2004,1,RN,total,,268614.11
11,2004,1,PB,total,,236448.97
12,2004,1,PE,total,,643102.49
13,2004,1,AL,total,,285489.0
14,2004,1,SE,total,,192207.02
15,2004,1,BA,total,,1444451.49
16,2004,1,MG,total,,3732811.24
17,2004,1,ES,total,,607655.14
18,2004,1,RJ,total,,2612753.07
19,2004,1,SP,total,,7976304.95
20,2004,1,PR,total,,1596274.29
21,2004,1,SC,total,,1132926.27
22,2004,1,RS,total,,1780912.48
23,2004,1,MS,total,,272917.41
24,2004,1,MT,total,,292173.45
25,2004,1,GO,total,,630624.0
26,2004,1,DF,total,,311459.0
27,2004,2,RO,total,,105806.0
28,2004,2,AC,total,,33050.33
29,2004,2,AM,total,,278429.72
30,2004,2,RR,total,,30802.28
31,2004,2,PA,total,,967109.34
32,2004,2,AP,total,,28944.0
33,2004,2,TO,total,,63306.92
34,2004,2,MA,total,,694591.8
35,2004,2,PI,total,,110758.0
36,2004,2,CE,total,,469181.31
37,2004,2,RN,total,,233950.88
38,2004,2,PB,total,,226289.39
39,2004,2,PE,total,,612231.66
40,2004,2,AL,total,,266555.0
41,2004,2,SE,total,,182026.13
42,2004,2,BA,total,,1344183.83
43,2004,2,MG,total,,3582369.94
44,2004,2,ES,total,,583260.07
45,2004,2,RJ,total,,2630033.87
46,2004,2,SP,total,,7919049.63
47,2004,2,PR,total,,1635576.04
48,2004,2,SC,total,,1230305.38
49,2004,2,RS,total,,1824346.44
50,2004,2,MS,total,,270613.42
51,2004,2,MT,total,,296942.39
52,2004,2,GO,total,,602529.0
53,2004,2,DF,total,,285928.0
54,2004,3,RO,total,,106668.0
55,2004,3,AC,total,,33858.03
56,2004,3,AM,total,,270420.0
57,2004,3,RR,total,,30275.52
58,2004,3,PA,total,,1022952.89
59,2004,3,AP,total,,42451.0
60,2004,3,TO,total,,67551.25
61,2004,3,MA,total,,743086.2
62,2004,3,PI,total,,112344.0
63,2004,3,CE,total,,508966.11
64,2004,3,RN,total,,257966.1
65,2004,3,PB,total,,242215.12
66,2004,3,PE,total,,658774.05
67,2004,3,AL,total,,259855.0
68,2004,3,SE,total,,195611.08
69,2004,3,BA,total,,1393925.45
70,2004,3,MG,total,,3605412.32
71,2004,3,ES,total,,599525.0
72,2004,3,RJ,total,,2582060.82
73,2004,3,SP,total,,8116797.54
74,2004,3,PR,total,,1656643.76
75,2004,3,SC,total,,1300745.9
76,2004,3,RS,total,,1941380.74
77,2004,3,MS,total,,278720.54
78,2004,3,MT,total,,332886.99
79,2004,3,GO,total,,622783.0
80,2004,3,DF,total,,300453.0
81,2004,4,RO,total,,107580.0
82,2004,4,AC,total,,34961.02
83,2004,4,AM,total,,279044.7
84,2004,4,RR,total,,33035.03
85,2004,4,PA,total,,1032233.03
86,2004,4,AP,total,,40234.0
87,2004,4,TO,total,,71774.33
88,2004,4,MA,total,,728379.0
89,2004,4,PI,total,,123168.0
90,2004,4,CE,total,,523200.12
91,2004,4,RN,total,,264504.74
92,2004,4,PB,total,,235364.14
93,2004,4,PE,total,,674646.39
94,2004,4,AL,total,,289626.0
95,2004,4,SE,total,,204065.06
96,2004,4,BA,total,,1419046.03
97,2004,4,MG,total,,3668628.56
98,2004,4,ES,total,,583307.17
99,2004,4,RJ,total,,2626340.44
100,2004,4,SP,total,,8623046.79
101,2004,4,PR,total,,1691910.14
102,2004,4,SC,total,,1215161.08
103,2004,4,RS,total,,1966239.92
104,2004,4,MS,total,,290653.111
105,2004,4,MT,total,,353039.55
106,2004,4,GO,total,,644083.0
107,2004,4,DF,total,,322911.0
108,2004,5,RO,total,,112115.8
109,2004,5,AC,total,,29766.47
110,2004,5,AM,total,,283866.0
111,2004,5,RR,total,,28944.36
112,2004,5,PA,total,,1057805.52
